Name,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Seats,Price,Mileage_num,Engine_num,Power_num,Brand,Car_Age,fuel_unit,kg_co2e_per_unit,kg_co2e_per_kwh,kwh_per_unit,estimated_kg_co2e_per_km
Hyundai Grand i10 Sportz,Chennai,2015,54000,Petrol,Manual,Third,5.0,3.6,18.9,1197.0,82.0,Hyundai,5,litre,2.1,0.22,9.545455,0.11111111111111112
Volkswagen Vento 2013-2015 1.6 Comfortline,Kolkata,2015,39000,Petrol,Manual,First,5.0,3.99,15.04,1598.0,103.2,Volkswagen,5,litre,2.1,0.22,9.545455,0.1396276595744681
Renault KWID RXT,Kochi,2017,16542,Petrol,Manual,First,5.0,3.3,25.17,799.0,53.3,Renault,3,litre,2.1,0.22,9.545455,0.08343265792610251
Hyundai i10 Asta,Kolkata,2010,32000,Petrol,Manual,First,5.0,2.07,20.36,1197.0,78.9,Hyundai,10,litre,2.1,0.22,9.545455,0.1031434184675835
Nissan X-Trail SLX AT,Hyderabad,2010,121812,Diesel,Automatic,First,5.0,7.75,13.29,1995.0,147.6,Nissan,10,litre,2.51,0.24,10.45833,0.18886380737396538
Maruti Zen Estilo VXI BSIII,Hyderabad,2010,39300,Petrol,Manual,First,5.0,2.25,18.2,998.0,67.1,Maruti,10,litre,2.1,0.22,9.545455,0.11538461538461539
Toyota Innova Crysta 2.4 GX MT 8S,Mumbai,2017,22000,Diesel,Manual,First,8.0,16.5,13.68,2393.0,147.8,Toyota,3,litre,2.51,0.24,10.45833,0.1834795321637427
Ford Figo Diesel Titanium,Bangalore,2010,72000,Diesel,Manual,First,5.0,2.75,20.0,1399.0,68.0,Ford,10,litre,2.51,0.24,10.45833,0.1255
Mercedes-Benz New C-Class C 200 CGI Avantgarde,Delhi,2015,58000,Petrol,Automatic,First,5.0,26.7,11.74,1796.0,186.0,Mercedes-Benz,5,litre,2.1,0.22,9.545455,0.1788756388415673
Mercedes-Benz New C-Class 200 CDI Classic,Pune,2011,65000,Diesel,Manual,Second,5.0,10.0,15.8,2148.0,170.0,Mercedes-Benz,9,litre,2.51,0.24,10.45833,0.15886075949367087
Tata Indica V2 eLS,Chennai,2016,178000,Diesel,Manual,First,5.0,2.5,25.0,1396.0,69.0,Tata,4,litre,2.51,0.24,10.45833,0.10039999999999999
Audi A4 2.0 TDI Multitronic,Jaipur,2012,65664,Diesel,Automatic,First,5.0,13.5,16.55,1968.0,140.0,Audi,8,litre,2.51,0.24,10.45833,0.15166163141993955
Honda City ZX CVT,Mumbai,2007,63000,Petrol,Automatic,Second,5.0,1.85,16.4,1497.0,78.0,Honda,13,litre,2.1,0.22,9.545455,0.12804878048780488
Mercedes-Benz C-Class Progressive C 220d,Coimbatore,2019,15369,Diesel,Automatic,First,5.0,35.67,0.0,1950.0,194.0,Mercedes-Benz,1,litre,2.51,0.24,10.45833,0.12352941176470589
Maruti Ertiga SHVS VDI,Pune,2016,63000,Diesel,Manual,First,7.0,8.15,24.52,1248.0,88.5,Maruti,4,litre,2.51,0.24,10.45833,0.10236541598694943
Hyundai Creta 1.4 E Plus Diesel,Mumbai,2018,13000,Diesel,Manual,First,5.0,10.5,22.1,1396.0,88.7,Hyundai,2,litre,2.51,0.24,10.45833,0.11357466063348415
Porsche Cayenne 2009-2014 Turbo,Mumbai,2008,73000,Petrol,Automatic,First,5.0,14.5,8.5,4806.0,500.0,Porsche,12,litre,2.1,0.22,9.545455,0.24705882352941178
Mahindra XUV500 W8 4WD,Mumbai,2015,55729,Diesel,Manual,First,7.0,9.65,15.1,2179.0,140.0,Mahindra,5,litre,2.51,0.24,10.45833,0.1662251655629139
Hyundai i10 Sportz 1.2 AT,Kochi,2012,45178,Petrol,Automatic,First,5.0,3.48,16.95,1197.0,78.9,Hyundai,8,litre,2.1,0.22,9.545455,0.12389380530973453
Nissan Terrano XV D Pre,Kochi,2015,56066,Diesel,Manual,First,5.0,6.92,19.64,1461.0,108.5,Nissan,5,litre,2.51,0.24,10.45833,0.12780040733197554
Honda Brio VX AT,Coimbatore,2016,37300,Petrol,Automatic,Second,5.0,6.46,16.5,1198.0,86.8,Honda,4,litre,2.1,0.22,9.545455,0.1272727272727273
Audi A6 2.0 TDI Design Edition,Delhi,2014,56000,Diesel,Automatic,Second,5.0,29.5,18.53,1968.0,187.74,Audi,6,litre,2.51,0.24,10.45833,0.13545601726929302
Ford Fiesta 1.4 SXi TDCi,Jaipur,2008,111111,Diesel,Manual,First,5.0,2.0,17.8,1399.0,97.7,Ford,12,litre,2.51,0.24,10.45833,0.14101123595505616
Toyota Innova 2.0 G1,Chennai,2006,230000,Petrol,Manual,Third,8.0,4.5,12.4,1998.0,132.0,Toyota,14,litre,2.1,0.22,9.545455,0.16935483870967744
Toyota Innova 2.5 VX 7 STR BSIV,Hyderabad,2012,104000,Diesel,Manual,First,7.0,11.75,12.8,2494.0,102.0,Toyota,8,litre,2.51,0.24,10.45833,0.19609374999999998
Hyundai Santro Xing XL,Hyderabad,2005,87591,Petrol,Manual,First,5.0,1.3,0.0,1086.0,97.7,Hyundai,15,litre,2.1,0.22,9.545455,0.12352941176470589
Maruti Swift VDI,Jaipur,2012,95100,Diesel,Manual,First,5.0,3.75,22.9,1248.0,74.0,Maruti,8,litre,2.51,0.24,10.45833,0.10960698689956332
Tata Zest Revotron 1.2T XE,Pune,2017,70000,Petrol,Manual,First,5.0,4.5,17.57,1193.0,88.7,Tata,3,litre,2.1,0.22,9.545455,0.11952191235059761
Honda Amaze SX i-VTEC,Kochi,2016,54944,Petrol,Manual,First,5.0,4.82,18.0,1198.0,86.7,Honda,4,litre,2.1,0.22,9.545455,0.11666666666666667
Ford Figo Diesel ZXI,Hyderabad,2012,70337,Diesel,Manual,First,5.0,2.8,20.0,1399.0,68.0,Ford,8,litre,2.51,0.24,10.45833,0.1255
Maruti Ritz VDi,Jaipur,2013,99638,Diesel,Manual,First,5.0,3.11,23.2,1248.0,73.94,Maruti,7,litre,2.51,0.24,10.45833,0.10818965517241379
Honda City i VTEC E,Delhi,2009,52000,Petrol,Manual,First,5.0,3.25,17.8,1497.0,117.3,Honda,11,litre,2.1,0.22,9.545455,0.11797752808988764
BMW 5 Series 2003-2012 525d,Delhi,2011,75000,Diesel,Automatic,Second,5.0,13.9,16.73,1995.0,218.0,BMW,9,litre,2.51,0.24,10.45833,0.15002988643156007
Hyundai i10 Sportz 1.2,Pune,2009,95980,Petrol,Manual,First,5.0,2.25,20.36,1197.0,78.9,Hyundai,11,litre,2.1,0.22,9.545455,0.1031434184675835
Hyundai Grand i10 Sportz,Bangalore,2016,16000,Petrol,Manual,First,5.0,5.75,18.9,1197.0,82.0,Hyundai,4,litre,2.1,0.22,9.545455,0.11111111111111112
Hyundai Santro Xing XO,Hyderabad,2007,73745,Petrol,Manual,First,5.0,2.1,17.0,1086.0,97.7,Hyundai,13,litre,2.1,0.22,9.545455,0.12352941176470589
Honda Amaze SX i-VTEC,Mumbai,2016,18949,Petrol,Manual,First,5.0,5.0,17.8,1198.0,86.7,Honda,4,litre,2.1,0.22,9.545455,0.11797752808988764
Toyota Fortuner 4x2 Manual,Delhi,2014,107000,Diesel,Manual,First,7.0,16.5,13.0,2982.0,168.5,Toyota,6,litre,2.51,0.24,10.45833,0.19307692307692306
Audi A6 2011-2015 35 TDI Premium,Coimbatore,2018,48367,Diesel,Automatic,First,5.0,39.58,17.68,1968.0,174.33,Audi,2,litre,2.51,0.24,10.45833,0.1419683257918552
Ford Ecosport 1.5 DV5 MT Titanium Optional,Delhi,2013,57000,Diesel,Manual,First,5.0,5.5,22.7,1498.0,89.84,Ford,7,litre,2.51,0.24,10.45833,0.11057268722466959
Mahindra XUV500 W8 2WD,Delhi,2014,58000,Diesel,Manual,First,7.0,8.1,15.1,2179.0,140.0,Mahindra,6,litre,2.51,0.24,10.45833,0.1662251655629139
Honda Amaze SX i-DTEC,Kolkata,2015,30000,Diesel,Manual,First,5.0,3.5,25.8,1498.0,98.6,Honda,5,litre,2.51,0.24,10.45833,0.09728682170542635
Volkswagen Polo Diesel Highline 1.2L,Kolkata,2013,34212,Diesel,Manual,First,5.0,2.79,22.07,1199.0,73.9,Volkswagen,7,litre,2.51,0.24,10.45833,0.11372904395106478
Hyundai Verna Transform SX VGT CRDi,Ahmedabad,2010,70002,Diesel,Manual,First,5.0,3.45,16.2,1493.0,110.0,Hyundai,10,litre,2.51,0.24,10.45833,0.15493827160493825
Maruti Wagon R VXI BS IV,Bangalore,2016,62000,Petrol,Manual,First,5.0,4.45,18.9,998.0,67.1,Maruti,4,litre,2.1,0.22,9.545455,0.11111111111111112
Volkswagen Polo Petrol Highline 1.6L,Delhi,2010,62001,Petrol,Manual,First,5.0,2.65,15.26,1598.0,103.5,Volkswagen,10,litre,2.1,0.22,9.545455,0.13761467889908258
Hyundai i20 1.4 CRDi Sportz,Pune,2011,78958,Diesel,Manual,Second,5.0,3.8,23.0,1396.0,90.0,Hyundai,9,litre,2.51,0.24,10.45833,0.10913043478260868
Hyundai i20 Asta 1.2,Mumbai,2014,30180,Petrol,Manual,First,5.0,4.65,18.5,1197.0,82.85,Hyundai,6,litre,2.1,0.22,9.545455,0.11351351351351352
Datsun GO Plus T Petrol,Pune,2017,32851,Petrol,Manual,First,7.0,3.95,19.83,1198.0,67.0,Datsun,3,litre,2.1,0.22,9.545455,0.10590015128593042
Audi A4 3.0 TDI Quattro Premium,Kolkata,2010,30000,Diesel,Automatic,First,5.0,9.8,14.94,2967.0,241.4,Audi,10,litre,2.51,0.24,10.45833,0.16800535475234268
Hyundai i20 2015-2017 Asta,Pune,2009,66000,Petrol,Manual,Second,5.0,2.7,17.0,1197.0,80.0,Hyundai,11,litre,2.1,0.22,9.545455,0.12352941176470589
Maruti Omni 5 Str STD,Coimbatore,2010,93850,Petrol,Manual,First,5.0,2.41,14.0,796.0,35.0,Maruti,10,litre,2.1,0.22,9.545455,0.15
Toyota Etios Liva 1.2 G,Ahmedabad,2014,53000,Petrol,Manual,First,5.0,3.9,17.71,1197.0,78.9,Toyota,6,litre,2.1,0.22,9.545455,0.11857707509881422
Jaguar XF 3.0 Litre S Premium Luxury,Hyderabad,2011,78000,Diesel,Automatic,Second,5.0,24.0,14.74,2993.0,270.9,Jaguar,9,litre,2.51,0.24,10.45833,0.17028493894165533
Mahindra XUV500 W8 2WD,Delhi,2012,65000,Diesel,Manual,Second,7.0,5.75,16.0,2179.0,140.0,Mahindra,8,litre,2.51,0.24,10.45833,0.156875
Hyundai Verna 1.6 SX CRDI (O) AT,Kolkata,2014,40000,Diesel,Automatic,First,5.0,5.25,22.32,1582.0,126.32,Hyundai,6,litre,2.51,0.24,10.45833,0.11245519713261648
Toyota Innova Crysta 2.8 ZX AT,Mumbai,2017,30000,Diesel,Automatic,First,7.0,19.25,11.36,2755.0,171.5,Toyota,3,litre,2.51,0.24,10.45833,0.2209507042253521
Maruti Eeco 5 Seater AC,Coimbatore,2017,38053,Petrol,Manual,First,5.0,3.91,15.1,1196.0,73.0,Maruti,3,litre,2.1,0.22,9.545455,0.13907284768211922
Tata Nano Twist XT,Bangalore,2014,25500,Petrol,Manual,First,4.0,2.15,25.4,624.0,37.5,Tata,6,litre,2.1,0.22,9.545455,0.08267716535433071
BMW 3 Series 320d Luxury Line,Mumbai,2015,56087,Diesel,Automatic,First,5.0,20.75,22.69,1995.0,190.0,BMW,5,litre,2.51,0.24,10.45833,0.11062141912736886
Honda Civic 2006-2010 1.8 V MT,Delhi,2010,71088,Petrol,Manual,First,5.0,3.35,13.5,1799.0,130.0,Honda,10,litre,2.1,0.22,9.545455,0.15555555555555556
Toyota Innova 2.5 VX (Diesel) 7 Seater,Ahmedabad,2014,55000,Diesel,Manual,First,7.0,11.11,12.99,2494.0,100.6,Toyota,6,litre,2.51,0.24,10.45833,0.193225558121632
Volvo V40 Cross Country D3,Bangalore,2014,32700,Diesel,Automatic,First,5.0,20.0,23.3,1984.0,150.0,Volvo,6,litre,2.51,0.24,10.45833,0.10772532188841201
Nissan Micra XV CVT,Coimbatore,2016,39882,Petrol,Automatic,First,5.0,6.55,19.15,1198.0,75.94,Nissan,4,litre,2.1,0.22,9.545455,0.10966057441253264
BMW 5 Series 2010-2013 525i,Mumbai,2009,128000,Petrol,Automatic,First,5.0,7.0,10.8,2497.0,215.0,BMW,11,litre,2.1,0.22,9.545455,0.19444444444444445
Maruti Vitara Brezza VDi,Mumbai,2016,55000,Diesel,Manual,First,5.0,7.5,24.3,1248.0,88.5,Maruti,4,litre,2.51,0.24,10.45833,0.10329218106995884
Hyundai Santro Xing XL eRLX Euro III,Mumbai,2005,102000,Petrol,Manual,Second,5.0,0.85,17.0,1086.0,97.7,Hyundai,15,litre,2.1,0.22,9.545455,0.12352941176470589
Mercedes-Benz B Class B200 CDI,Pune,2014,53753,Diesel,Automatic,Second,5.0,16.75,15.0,2143.0,107.3,Mercedes-Benz,6,litre,2.51,0.24,10.45833,0.1673333333333333
Hyundai Verna CRDi 1.6 SX Option,Kolkata,2018,10250,Diesel,Manual,First,5.0,10.95,22.0,1582.0,126.2,Hyundai,2,litre,2.51,0.24,10.45833,0.11409090909090908
Maruti Wagon R LXI BS IV,Pune,2011,43874,Petrol,Manual,First,5.0,2.45,18.9,998.0,67.1,Maruti,9,litre,2.1,0.22,9.545455,0.11111111111111112
Tata Nano XTA,Coimbatore,2017,32684,Petrol,Automatic,First,4.0,3.23,21.9,624.0,37.48,Tata,3,litre,2.1,0.22,9.545455,0.09589041095890412
Mahindra Scorpio VLX,Kolkata,2014,42000,Diesel,Manual,First,8.0,7.75,12.05,2179.0,120.0,Mahindra,6,litre,2.51,0.24,10.45833,0.20829875518672197
Mercedes-Benz New C-Class 200 K AT,Kolkata,2009,28352,Petrol,Automatic,First,5.0,9.35,11.7,1796.0,178.0,Mercedes-Benz,11,litre,2.1,0.22,9.545455,0.17948717948717952
Maruti Wagon R LXI CNG,Pune,2013,89900,CNG,Manual,First,5.0,3.25,26.6,998.0,58.16,Maruti,7,kg,2.5625,0.18,14.23611,0.09633458646616541
Honda CR-V 2.4 MT,Bangalore,2007,47700,Petrol,Manual,Second,5.0,5.25,10.8,2354.0,152.0,Honda,13,litre,2.1,0.22,9.545455,0.19444444444444445
Volkswagen Vento 1.5 TDI Comfortline AT,Pune,2015,55000,Diesel,Automatic,First,5.0,7.25,21.21,1498.0,103.2,Volkswagen,5,litre,2.51,0.24,10.45833,0.11834040546911832
Maruti Ciaz VXi Plus,Kochi,2017,44285,Petrol,Manual,First,5.0,7.47,20.73,1373.0,91.1,Maruti,3,litre,2.1,0.22,9.545455,0.10130246020260492
Mahindra XUV500 AT W10 FWD,Jaipur,2016,54000,Diesel,Automatic,First,7.0,13.25,16.0,2179.0,140.0,Mahindra,4,litre,2.51,0.24,10.45833,0.156875
Maruti Ritz VXI ABS,Coimbatore,2016,30232,Petrol,Manual,First,5.0,5.81,21.1,1197.0,85.8,Maruti,4,litre,2.1,0.22,9.545455,0.0995260663507109
Maruti Alto K10 VXI,Hyderabad,2014,88500,Petrol,Manual,First,5.0,2.6,24.07,998.0,67.1,Maruti,6,litre,2.1,0.22,9.545455,0.08724553385957624
Mercedes-Benz SLC 43 AMG,Kolkata,2017,13372,Petrol,Automatic,First,2.0,54.0,19.0,2996.0,362.07,Mercedes-Benz,3,litre,2.1,0.22,9.545455,0.1105263157894737
Hyundai Verna VTVT 1.6 AT SX Plus,Kochi,2019,12645,Petrol,Automatic,First,5.0,11.5,17.0,1591.0,121.3,Hyundai,1,litre,2.1,0.22,9.545455,0.12352941176470589
Maruti Alto LXi BSIII,Chennai,2010,94385,Petrol,Manual,Second,5.0,1.6,19.7,796.0,46.3,Maruti,10,litre,2.1,0.22,9.545455,0.10659898477157362
BMW 1 Series 118d Base,Coimbatore,2015,31821,Diesel,Automatic,First,5.0,17.22,20.58,1995.0,143.0,BMW,5,litre,2.51,0.24,10.45833,0.12196307094266277
Honda Jazz 1.2 V CVT i VTEC,Mumbai,2015,12000,Petrol,Automatic,First,5.0,6.0,19.0,1199.0,88.7,Honda,5,litre,2.1,0.22,9.545455,0.1105263157894737
Honda Civic 2006-2010 1.8 V MT,Delhi,2012,88578,Petrol,Manual,First,5.0,3.95,13.5,1799.0,130.0,Honda,8,litre,2.1,0.22,9.545455,0.15555555555555556
Mercedes-Benz New C-Class C 220 CDI Avantgarde,Kochi,2014,44965,Diesel,Automatic,First,5.0,17.95,19.27,2143.0,170.0,Mercedes-Benz,6,litre,2.51,0.24,10.45833,0.1302542812662169
Honda Amaze SX i-DTEC,Kolkata,2014,45044,Diesel,Manual,First,5.0,3.7,25.8,1498.0,98.6,Honda,6,litre,2.51,0.24,10.45833,0.09728682170542635
Maruti Swift VVT VXI,Kochi,2016,34204,Petrol,Manual,First,5.0,5.43,22.0,1197.0,81.8,Maruti,4,litre,2.1,0.22,9.545455,0.09545454545454546
Hyundai Santro Xing XO eRLX Euro II,Kochi,2008,80759,Petrol,Manual,Third,5.0,1.67,17.0,1086.0,97.7,Hyundai,12,litre,2.1,0.22,9.545455,0.12352941176470589
Toyota Fortuner 3.0 Diesel,Coimbatore,2012,91235,Diesel,Manual,First,7.0,13.49,11.5,2982.0,171.0,Toyota,8,litre,2.51,0.24,10.45833,0.21826086956521737
